Latham's snipe
Laughing dove
Laughing gull
Laughing owl
Lava gull
Laysan duck
Laysan finch
Laysan rail
Lear's macaw
Least auklet
Least bittern
Least nighthawk
Least poorwill
Least seedsnipe
Lemon dove
Lesser scaup
Lewin's rail
Little auk
Little crake
Little crow
Little grebe
Little gull
Little owl
Little stint
Little swift
Little tern
Locust finch
Long-toed stint
Maccoa duck
Madanga
Maghreb lark
Maghreb owl
Magpie goose
Magpie shrike
Magpie-lark
Malleefowl
Maned owl
Mantled hawk
Marail guan
Marbled duck
Marsh antwren
Marsh babbler
Marsh grassbird
Marsh tchagra
Marsh warbler
Masked duck
Masked finch
Masked lark
Masked shrike
Mayr's swiftlet
McKay's bunting
Mees's nightjar
Meller's duck
Milky stork
Millerbird
Miombo tit
Mistle thrush
Moorland chat
Morepork
Morningbird
Mottled duck
Mottled owl
Mottled swift
Mountain shrike
Mountain thrush
Mountain wren
Mourning dove
Mrs. Gould's sunbird
Mute swan
Naumann's thrush
Nava's wren
Neddicky
Night parrot
Nihoa finch
Noble snipe
Northern shrike
Nyanza swift
†Oʻahu ʻōʻō
Oak titmouse
Obbia lark
Olrog's gull
Ovenbird
Owston's tit
Painted finch
Painted stork
Palau owl
Pale thrush
Palila
Pallas's gull
Pallid dove
Pallid swift
Palm warbler
Pampa finch
Pardusco
Pauraque
Pied bush chat
Pied goshawk
Pied harrier
Pied heron
Pied monarch
Pied myna
Pied plover
Pied puffbird
Pied starling
Pied triller
Pied wheatear
Pilotbird
Pink pigeon
Pink robin
Pinyon jay
Piping crow
Pipipi
Plain bush-hen
Plain greenbul
Plain nightjar
Plain pigeon
Plain prinia
Plain softtail
Plain sunbird
Plain thornbird
Plain xenops
†Poʻouli
Preuss's weaver
Puaiohi
Puna snipe
Puna teal
Purple finch
Purplish jay
Quailfinch
Rail-babbler
Rain quail
Rand's warbler
Raso lark
Razorbill
Red crossbill
Red fody
Red goshawk
Red lory
Red siskin
Red spurfowl
Red warbler
Relict gull
†Réunion owl
†Réunion rail
Ridgway's hawk
Ridgway's rail
Rifleman
Ring ouzel
Ringed teal
River tern
Rock bunting
